filename,labels
image1.png,"cellular Automata, Geometry, pixel, cells"
image2.png,"Perlin noise, Swirls, swirling, flow"
image3.png,"Perlin noise, Circular, stripes, motion, flow, swirls"
image4.png,"Perlin noise, stripes, flow, motion, swirls"
image5.png,"reaction diffusion, Metallic, intricate, reflective, structured"
image6.png,"reaction diffusion, Metallic, intricate, reflective, structured"
image7.png,"Perlin noise, swirls, stripes, motion"
image8.png,"Perlin noise, swirls, stripes, motion"
image9.png,"reaction diffusion, Metallic, structured, reflective, intricate"
image10.png,"mandelbrot, fractal, flowers, pattern, symetric"
image11.png,"Perlin noise, Swirls, flow, stripes"
image12.png,"reaction diffusion, Metallic, intricate, reflective, structured"
image14.png,"voronoi diagram, voronoi, polygonal, segemented"
image15.png,"voronoi diagram, voronoi, polygonal, segemented"
image16.png,"voronoi diagram, voronoi, polygonal, segemented"
image17.png,"cellular Automata, cellular, cells, biology"
image18.png,"mandelbrot, glitch, fractal, pattern, intricate"
image19.png,"mandelbrot, fractal, pattern, symetric"
image20.png,"mandelbrot, fractal, pattern, symetric, hyptnotic, flowers"
image21.png,"L-Systems, cube, square, vertex"
image22.png,"L-Systems, cube, square, vertex"
image23.png,"L-Systems, cube, square, vertex"
image24.png,"Random walk, path, lines"
image25.png,"Random walk, path, lines"
image26.png,"Random walk, path, lines"
image27.png,"particle system, particle, black hole, gravity"
image28.png,"particle system, particle, space, link"
image29.png,"particle system, particle, space, link"
image30.png,"cellular Automata, cells, Geometry, pixel"
image31.png,"mandelbrot, fractal, flowers, hyptnotic, pattern"
